"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC","T_pumpB_out.T"
44,25.513327012370667,25.359110287569536,25.370248924714303,25.334603461690392,25.149356706256924,25.011396560131573,25.507630010277126
46,25.524753965315256,25.373395664591214,25.384459149039742,25.346657877911127,25.157903179927814,25.011477207602468,25.516176660269707
48,25.535998041366554,25.387415206725393,25.398387311800263,25.35847233821795,25.166419943580593,25.011583872193967,25.5246935994993
50,25.54706455982813,25.401176617627073,25.41204408857294,25.370057866248487,25.174893936784258,25.011714115135703,25.533167767268594
52,25.557958020355215,25.414687341235037,25.425439461893177,25.38142431784621,25.183314103802957,25.01186578961125,25.541588107617144
54,25.568682168573957,25.427954456894838,25.438582581647267,25.392580288869055,25.19167154327573,25.012036827482518,25.549945719006587
56,25.579240657558046,25.44098487051025,25.45148235459186,25.403534126183274,25.199957663542307,25.01222526363398,25.558232009603444
58,25.58963746964497,25.453787049085292,25.464149214984047,25.414295025801096,25.208164227327245,25.012428868422433,25.56643874196999
60,25.599874642479506,25.466365639676326,25.47658864811939,25.424867572485994,25.2162878702606,25.01264645533314,25.57456255167608
62,25.609954686783396,25.478726151779767,25.48880716913203,25.43525724100556,25.224324557921648,25.01287662757801,25.58259940422272
64,25.61988010419458,25.490874054016388,25.500811154250925,25.445469325668512,25.232270737560782,25.01311802113679,25.590545746785153
66,25.629654839744433,25.50281781497671,25.512610232811937,25.455511669063583,25.240122176972534,25.013368713546527,25.59839734706452
68,25.63927998521268,25.5145597682818,25.524207043031936,25.465386410250346,25.247877789394977,25.013628187746065,25.606153118276666
70,25.648758494086508,25.52610600144766,25.53560827719747,25.475098819272432,25.255535735576075,25.01389512476038,25.61381122115114
72,25.65809103087082,25.53745788943371,25.54681545172656,25.48465009428884,25.263095574601437,25.01416922552545,25.62137121477008
74,25.66728057066922,25.54862135245429,25.557834982451425,25.494045304277336,25.270556055495206,25.014449247669802,25.628831848135405
76,25.67632925064862,25.559600678532263,25.56867153400725,25.5032881346836,25.277916171542927,25.014734284317285,25.63619211451646
78,25.685238546401536,25.570398541374573,25.579327883815893,25.51238074032011,25.285176035540246,25.015023902831956,25.64345212671094
80,25.694011654006374,25.581021040913527,25.589810524672146,25.52132820788148,25.29233502239225,25.01531695792363,25.650611259611708
82,25.7026505820441,25.591471412651742,25.600122707637013,25.53013305173016,25.299394015700898,25.015612982450364,25.65767039685562
84,25.71116242990314,25.60176207400167,25.61027728476182,25.538805278803295,25.30635404377955,25.01590991078598,25.664630566803396
86,25.719543814980796,25.6118871085676,25.620268132587682,25.547340121242257,25.31321461654187,25.016208727049445,25.671491279350903
88,25.727794737100396,25.621846516075664,25.630095250847887,25.55573757885537,25.31997573387497,25.016509431241104,25.678252534387354
90,25.735917077568786,25.631643301180077,25.63976167985919,25.564000057190754,25.326638158280787,25.016811590252644,25.684915094425662
92,25.743920332307596,25.641292629879615,25.649282765586065,25.572139698146827,25.333205738664503,25.017113018128782,25.69148280841489
