"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","T_pumpB_out.T"
0,25.022953302085227,25.022953302085227,25.022953302085227,25.381477165689546
2,25.056356296895444,25.02844408390871,25.023579643218056,25.381989242755992
4,25.10229978733929,25.041996903773622,25.023987223267397,25.38235819519275
6,25.143197351426295,25.057947702436138,25.02381723090099,25.382186687758235
8,25.17860380219139,25.077779860054704,25.02415931965203,25.38252875203932
10,25.209920929647694,25.100146433251837,25.0253289775888,25.383698435191945
12,25.238219542201534,25.12390419156651,25.02733030495432,25.385699805690592
14,25.264250359554296,25.148290517152475,25.03003084712617,25.388400405403672
16,25.288534860598986,25.172807396773862,25.033280445987714,25.391650073014546
18,25.311436031537085,25.197134643914467,25.03697262925806,25.395342334055158
20,25.33320938199762,25.221071274498,25.041044840830807,25.39941463111205
22,25.35403828525392,25.244495804610835,25.045456289885408,25.403826172512026
24,25.374056968472416,25.267339723821976,25.050169556277922,25.408539537334036
26,25.393365312757,25.289569651666795,25.055144379260412,25.41351446399915
28,25.412038816883125,25.311175095624037,25.06033959949974,25.41870979232766
30,25.430135561123336,25.33216013204361,25.065717115624295,25.424087420166074
32,25.44770118642765,25.35253785315325,25.071244010719113,25.429614429924982
34,25.464772485782248,25.372326641897814,25.07689233418563,25.43526287043477
36,25.481379899692286,25.391547727835757,25.0826379322462,25.44100858742422
38,25.49754919706328,25.410223624908838,25.08845935969697,25.446830135252412
40,25.513302656877556,25.42837708704411,25.094337215328267,25.45270811231552
42,25.52865987487445,25.446030462195665,25.100253929339544,25.45862494845585
44,25.54363823966179,25.46320539179436,25.106193830959626,25.464564972584185
46,25.558253410363875,25.479922540459768,25.11214303702144,25.470514301253047
48,25.572519653146458,25.496201462951205,25.118089263076115,25.476460649764988
50,25.586450112535374,25.512060572614303,25.124021626109823,25.48239313488682
52,25.600056896376998,25.527517169438568,25.1299305451509,25.488302175454578
54,25.613351176207345,25.542587467204328,25.13580763498834,25.49417938608883
56,25.626343413927827,25.557286629129123,25.141645491179645,25.500017362198832
58,25.63904349225362,25.571628882563857,25.147437527791055,25.505809517719626
60,25.651460663663727,25.585627534023445,25.153178023777116,25.511550131492186
62,25.663603706144556,25.59929510170292,25.158861940829013,25.517234165107652
64,25.675480844616175,25.612643344919718,25.16448500118082,25.522857340715746
66,25.687099840559938,25.62568329428092,25.170043504109742,25.528415957521702
68,25.698468018959545,25.63842528243839,25.175534355000252,25.53390692084929
70,25.709592373195903,25.650879032663227,25.180954919015278,25.539327595809937
72,25.72047961503705,25.663053746679168,25.186302856454915,25.54467564265974
74,25.731136117395124,25.67495810124575,25.191576315207783,25.549949209252304
76,25.74156795236746,25.68660028492019,25.19677381171772,25.555146812003045
78,25.751780907631712,25.69798805155034,25.20189416360705,25.56026726851337
80,25.76178053184998,25.709128773082,25.2069365700018,25.565309777894527
82,25.771572150036434,25.72002944624768,25.211900339464762,25.570273648698105
84,25.78116089628537,25.730696744473846,25.216784945716597,25.575158354637097
86,25.790551721902318,25.74113704208986,25.221590245655477,25.579963752607853
88,25.79974935870797,25.751356385959582,25.22631614853077,25.584689751860367
90,25.80875836316335,25.761360541613215,25.23096278666884,25.58933648472646
92,25.81758313526865,25.77115504002046,25.23553043803787,25.59390422918034
94,25.826227928801984,25.780745189240008,25.240019368168475,25.598393250760864
96,25.83469684579444,25.79013606835514,25.24443002523759,25.60280399765611
98,25.84299386116544,25.79933256916155,25.24876298585042,25.607137046484468
100,25.8511228238213,25.80833939594362,25.253018888184613,25.61139303543871
102,25.85908730956777,25.817160851933124,25.25719854143739,25.615572773733618
104,25.8668908981071,25.82580124724251,25.261302742939677,25.619677058717457
106,25.874537221980802,25.83426496863018,25.26533226717794,25.62370666489454
108,25.88202960418215,25.842555966232396,25.269287991808767,25.62766246994056
110,25.889371616612436,25.85067854066068,25.273170713240972,25.631545270281777
112,25.89656658443704,25.858636642536283,25.276981332362823,25.635355966826694
114,25.903617272176064,25.86643342641065,25.280720994961428,25.63909570538624
116,25.91052721110367,25.874073135834635,25.28439050935384,25.642765294295202
118,25.917298765329576,25.881558394048113,25.287991100244824,25.6463659582854
120,25.92393513976134,25.888892984194115,25.291523711472962,25.649898641215884
122,25.930439115501656,25.896080117026088,25.294989394586366,25.653364394656307
124,25.93681343954694,25.903122957339235,25.298389209512663,25.65676427855601
126,25.94306092478672,25.91002475903332,25.301724197544956,25.660099334230495
128,25.949183936056727,25.916788188007047,25.304995461321653,25.663370664342438
130,25.955185289100598,25.92341650081886,25.30820404572188,25.66657931379285
132,25.96106723948043,25.929912233910443,25.311351005941617,25.66972633779926
134,25.966832406163064,25.936278388015296,25.31443740335891,25.672812797761935
136,25.972483173971057,25.94251767001839,25.31746428371065,25.675839739439994
138,25.978021798800057,25.948632625922244,25.320432682097987,25.678808197956243
140,25.98345061861818,25.954625903906333,25.32334364091497,25.681719215727128
142,25.988771871084452,25.96050002726912,25.326198193644302,25.68457382625718
144,25.993987740868818,25.966257453338187,25.328997369061597,25.687373058343837
146,25.999100283661562,25.971900490701444,25.331742136544392,25.690117881383458
148,26.004111577405013,25.97743146393026,25.334433514915816,25.692809314220426
150,26.00902362278731,25.98285260519532,25.337072500828242,25.695448353528036
152,26.013838359885256,25.988166072395245,25.339660080741453,25.698035985786646
154,26.018557827673874,25.99337417610053,25.342197170746488,25.700573127106566
156,26.02318391819466,25.998479028016106,25.344684715151004,25.70306072181529
158,26.027718427547995,26.003482613900417,25.347123666030427,25.705499722007403
160,26.032163142656998,26.008386917637097,25.349514948432045,25.707891052749687
162,26.03651991419798,26.01319401773145,25.351859444458512,25.71023559616299
164,26.040790574685786,26.017905975880183,25.354158016356052,25.712534214511663
166,26.04497676557486,26.022524601772204,25.35641155524894,25.71478779893863
168,26.049080158324784,26.027051753810895,25.358620918828535,25.716997207152872
170,26.053102413687554,26.03148928097238,25.360786944378276,25.719163276454992
172,26.057045219634176,26.035839070703503,25.362910440158373,25.72128681512237
174,26.06091012038388,26.040102833008348,25.364992224237824,25.72336864124071
176,26.064698667368077,26.044282291094817,25.367033090206462,25.72540954841668
178,26.068412378907453,26.048379130065484,25.369033821301002,25.727410319902788
180,26.072052759311703,26.052395015959462,25.37099525117725,25.729371789372124
182,26.075621252843405,26.05633154985452,25.372918117431993,25.73129469443643
184,26.079119279302688,26.06019030334545,25.374803174828514,25.73317978987467
186,26.082548224761638,26.06397280930554,25.37665116581269,25.735027818148183
188,26.085909486472303,26.06768061478175,25.37846277043576,25.73683945932231
190,26.089204385051687,26.07131517756187,25.380238704277474,25.73861542899124
192,26.092434216005984,26.074877926861916,25.381979660990226,25.74035642082231
194,26.095600247184564,26.078370260328768,25.383686315138277,25.74206310939337
196,26.098703776257764,26.081793622255475,25.385359381664955,25.743736209661108
198,26.101746044250433,26.085149386981982,25.386999538956218,25.745376400024952
200,26.10472823155277,26.088438853516834,25.38860742529215,25.74698431877823
202,26.10765151071979,26.09166331673572,25.390183685826912,25.748560611087214
204,26.110517064279236,26.094824084956088,25.391728894274195,25.75010585067946
206,26.113326071565723,26.097922464412534,25.393243573802636,25.75162056073657
208,26.116079618546735,26.100959652934478,25.394728340137988,25.753105356996343
210,26.118778796221648,26.10393685596665,25.396183745408223,25.754560791598806
212,26.121424633478966,26.106855211480536,25.397610358302643,25.755987433244172
214,26.124018088514447,26.109715783363356,25.399008877109225,25.757385980229287
216,26.12656034971002,26.112519882954473,25.400379832178317,25.75875696291837
218,26.12905250437899,26.115268712546992,25.40172381137876,25.760100969191626
