"time","tank1.medium.T_degC","tank.medium.T_degC","tank11.medium.T_degC"
0,25.022953302085227,25.022953302085227,25.022953302085227
2,25.028447379793135,25.056356652769125,25.0235847825341
4,25.042004999808853,25.102300962802303,25.02399618290127
6,25.057962514639996,25.143200109862562,25.02382999213188
8,25.077803386561357,25.17860895131679,25.024175901465526
10,25.100180933269428,25.209929374459136,25.025349584526964
12,25.123951979058177,25.23823230431657,25.027355335380378
14,25.148353824710114,25.26426857050177,25.030060863955498
16,25.172888312291946,25.288559740525955,25.03331613660572
18,25.197235088661444,25.311468863301627,25.037014770142434
20,25.221193004321606,25.333251485130802,25.041094268007043
22,25.244640420875783,25.354090994153296,25.04551387840303
24,25.26750868940161,25.37412161423123,25.050236205903673
26,25.28976430748827,25.39344320950312,25.0552210028157
28,25.311396676322545,25.412131251804055,25.06042711276001
30,25.332409779987927,25.430243787431607,25.065816428552182
32,25.352816630530185,25.447826418618945,25.071356020277392
34,25.37263554092857,25.464915896705577,25.077017918786225
36,25.39188767913646,25.481542618977812,25.082777947197258
38,25.410595504378932,25.497732310439858,25.088614633588406
40,25.428781721507164,25.513507206233896,25.094508547562384
42,25.44646863398276,25.528886858784574,25.100442088108082
44,25.463677842705636,25.543888613978254,25.106399552017876
46,25.480429974730157,25.558528089303934,25.11236702258026
48,25.496744549769744,25.572819510412558,25.11833218122098
50,25.512639948098638,25.586775982495908,25.12428411056743
52,25.52813343848169,25.600409575126434,25.130213195265412
54,25.543241205057427,25.613731422616922,25.136111015929316
56,25.557978382484237,25.626751950815617,25.141970134540827
58,25.57235917041379,25.63948100757483,25.147783931970537
60,25.58639684855092,25.651927811466578,25.153546654900936
62,25.600103909035568,25.66410110771841,25.159253233535253
64,25.613492086026383,25.676009089290062,25.164899358879154
66,25.626572385518614,25.68765948651975,25.17048130167649
68,25.639355116289323,25.69905959413046,25.175995938193125
70,25.651849978025723,25.710216376106757,25.181440603319345
72,25.664066149241933,25.721136515610567,25.186812930520034
74,25.676012284030264,25.731826357820694,25.19211104268976
76,25.687696548694873,25.742291947756087,25.197333437456848
78,25.699126675379205,25.752539047432663,25.2024789214027
80,25.710310014843515,25.76257318095969,25.20754665930832
82,25.721253542965712,25.772399648666976,25.212535922810787
84,25.73196390949596,25.782023558460708,25.21744619175712
86,25.74244745335244,25.79144982903057,25.222277505950444
88,25.75271021391626,25.800683182742375,25.22702918618421
90,25.76275794831787,25.809728156168887,25.231701263589628
92,25.77259617905912,25.818589111162225,25.236294612813424
94,25.782230177646227,25.82727024824777,25.240809508088034
96,25.79166501457388,25.835775683362556,25.245246318736292
98,25.80090554925863,25.84410938727143,25.249605492815192
100,25.809956465579432,25.852275201886243,25.253887577320654
102,25.81882227096338,25.860276821613354,25.25809293457354
104,25.827507312950786,25.868117826611694,25.262222988962492
106,25.836015784946824,25.875801698993712,25.26627894860502
108,25.84435174331651,25.883331874012526,25.270260837858302
110,25.85251909944583,25.89071166553191,25.27416953271262
112,25.860521621874966,25.897944233142482,25.27800620158581
114,25.868362989809555,25.90503269567381,25.281771848847313
116,25.876046777276713,25.911980101543406,25.285467557136883
