"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","tank5.medium.T_degC","tank6.medium.T_degC"
44,25.478491319441048,25.373869485822468,25.403750537401436,25.29291951593524,25.129016841873124,25.03130024440037
46,25.49017331508827,25.387346306538063,25.41677786022234,25.30689155784097,25.135033106879007,25.032285205343385
48,25.501685099191207,25.400593920557355,25.429572064146384,25.320621120187695,25.1409736278718,25.033319074136614
50,25.51302381875172,25.41361927190559,25.442142996587734,25.334113643727562,25.146836959262203,25.03440060907991
52,25.52418818546738,25.426428234845673,25.454498636441656,25.347374709130293,25.152622069363645,25.0355285754369
54,25.53517806723454,25.43902590523811,25.466645594495105,25.360409891978804,25.158328247111342,25.036701739238254
56,25.54599422501161,25.45141682036291,25.478589506216338,25.3732246251613,25.16395497523962,25.03791886084906
58,25.55663805946648,25.463605094394495,25.49033526089937,25.38582413443197,25.16950195064959,25.0391787283599
60,25.56711144219213,25.475594541762632,25.501887224700283,25.398213389945397,25.174969050392463,25.040480147903907
62,25.577416583704974,25.487388746672366,25.51324935915619,25.410397175647574,25.18035638014379,25.041821903175048
64,25.587555894747823,25.49899115283,25.524425385192274,25.422380010100994,25.1856642024066,25.043202802309168
66,25.597531894825067,25.510405099346087,25.53541884642442,25.434166172652738,25.190892889233112,25.04462167738319
68,25.6073472056965,25.5216338245869,25.546233116172914,25.445759713850464,25.196042915632404,25.046077381939938
70,25.617004538068215,25.532680473312382,25.556871409753,25.457164496608186,25.201114838166234,25.04756878008999
72,25.626506562052725,25.543548140070072,25.56733686737215,25.468384227944455,25.20610929310152,25.049094753216252
74,25.63585591680868,25.554239867354056,25.577632550696933,25.479422471782925,25.211026987404182,25.050654196192056
76,25.645055179717076,25.564758656059496,25.587761470810904,25.49028265235205,25.21586869543745,25.052246036075132
78,25.654106918181185,25.575107446970094,25.597726548686467,25.50096807074607,25.22063525970492,25.05386920417874
80,25.6630136327081,25.58528914076618,25.60753066229364,25.511481965881615,25.225327571929313,25.055522635272098
82,25.671777796986873,25.59530658286684,25.617176617826487,25.521827437863124,25.22994653458335,25.057205315070235
84,25.680401838866658,25.605162570931554,25.626667162019828,25.53200749611659,25.234493092993432,25.058916239880602
86,25.68888814284543,25.614859853037444,25.636004985881698,25.54202508790246,25.23896818632585,25.060654414902217
88,25.697239048317158,25.62440112931,25.645192722935178,25.55188306870076,25.243372782416884,25.062418873380068
90,25.705456845502397,25.633789053329508,25.654232957030274,25.561584238236094,25.247707850022323,25.064208668710137
92,25.713543783430225,25.64302623284965,25.6631282233555,25.571131334771223,25.251974384097878,25.066022868630682
94,25.72150206338091,25.65211522825092,25.67188100412892,25.580527028843505,25.25617338736214,25.06786056239622
96,25.72933385769562,25.661058555936563,25.68049373553896,25.589773930666126,25.260305855251488,25.069720857095433
98,25.7370412895944,25.669858685133647,25.68896880197707,25.598874585958413,25.26437280228282,25.071602878876035
100,25.744626450390967,25.678518042347093,25.697308547436762,25.607831504917442,25.268375231552284,25.073505772249348
102,25.75209139197483,25.687039008712475,25.705515267915814,25.616647139549116,25.272314150506816,25.07542870043261
104,25.759438128834574,25.695423923946407,25.71359121662846,25.62532388735309,25.276190551942193,25.077370844161976
106,25.766668641200283,25.703675087339832,25.721538607325954,25.633864102290147,25.280005408037994,25.079331401617026
108,25.773784872545264,25.71179475383184,25.72935960830938,25.642270087849454,25.283759692707974,25.081309589959062
110,25.78078873907731,25.719785143049705,25.737056356805795,25.650544118472055,25.287454340107786,25.083304643508257
112,25.787682115624932,25.72764842933549,25.744630941527646,25.658688408581554,25.291090297821086,25.08531581459141
114,25.79446684725434,25.735386754923923,25.752085421378467,25.66670514221363,25.294668526890007,25.087342370585304
116,25.801144734457296,25.74300220686706,25.75942180020951,25.67459644183276,25.298189954926272,25.089383602409214
118,25.80771740714505,25.75049666886838,25.766641887027106,25.682364225113304,25.301655456901983,25.09143888699367
120,25.814186665802538,25.75787222836783,25.77374768675446,25.69001061688283,25.30506596492438,25.09350751497874
122,25.820554264353348,25.765130917207387,25.78074115083615,25.697537685394025,25.30842239557245,25.09558880056221
124,25.82682195672527,25.77227476723459,25.787624230722315,25.704947498905597,25.311725665425854,25.097682057941427
126,25.832991368895193,25.77930565588389,25.79439872885274,25.712241959713253,25.314976599563295,25.09978667315812
128,25.839064225225513,25.78622557932414,25.801066562246262,25.71942309772777,25.318176093418344,25.101901977013824
130,25.845042284076214,25.79303657475299,25.807629687514748,25.72649298695768,25.321325066735824,25.104027281223296
132,25.8509269503881,25.799740263928413,25.81408965967222,25.73345326084194,25.32442427329505,25.106162082247067
134,25.85671969643778,25.80633834754434,25.820448110051927,25.740305636410028,25.32747449679249,25.108305841616755
136,25.862422277137796,25.812832857618048,25.82670699033048,25.747052181554466,25.330476646498198,25.110457874250926
138,25.868036092586124,25.819225411659602,25.832867851875164,25.75369453764216,25.333431476392263,25.112617675294644
140,25.87356242335369,25.825517487841296,25.83893211158437,25.760234205256495,25.33633968863063,25.11478479980923
142,25.879002923082282,25.83171099924408,25.84490160606748,25.76667312440412,25.339202147121853,25.116958615847295
144,25.88435899020675,25.837807559949795,25.85077788475104,25.773012928614833,25.342019606207998,25.11913862457294
146,25.889631840251297,25.84380856827005,25.856562291164607,25.779255025943314,25.344792742778907,25.1213244276816
148,25.89482301881634,25.84971581189319,25.862256540396686,25.785401231334447,25.347522373493064,25.123515445454757
150,25.899933894392177,25.855530870674386,25.867862148780716,25.791453146066317,25.350209227308085,25.125711191650396
152,25.904965597240846,25.861255047993893,25.8733803670346,25.797412097113977,25.352853879506654,25.12791129489034
154,25.909919599829152,25.866890044377385,25.87881282742279,25.80327980547844,25.35545712611696,25.13011521880179
156,25.91479724106631,25.872437405454946,25.88416101353124,25.809057837547414,25.358019680174323,25.132322492154742
158,25.919599619260282,25.877898399145522,25.889426144070228,25.81474747055978,25.36054214553627,25.134532770586418
160,25.9243280589821,25.883274554530033,25.89460968684108,25.820350253672416,25.363025228731146,25.136745590428916
162,25.928983786277684,25.888567286967884,25.899713001180146,25.825867617637016,25.365469591579142,25.138960539966718
164,25.933567970423894,25.89377794535011,25.90473738124689,25.831300938556353,25.36787584743155,25.14117722719908
166,25.938081790951344,25.898907891206306,25.90968413477259,25.83665159329297,25.370244633635764,25.14339526342536
168,25.942526394821414,25.903958448161518,25.91455453274517,25.841920924066983,25.372576565236102,25.14561427373252
170,25.946902941015367,25.908930952762773,25.91934985849724,25.84711028295959,25.3748722640168,25.147833880187534
172,25.95121254399072,25.913826690591975,25.9240713464971,25.852220973071837,25.377132327705397,25.15005372500508
174,25.955456297287753,25.918646922950245,25.92872020792521,25.85725427303879,25.37935734295951,25.152273460914614
176,25.959635278264443,25.923392892210757,25.933297635804195,25.86221144194718,25.381547887970157,25.154492749228723
