"time","tank1.medium.T_degC","tank2.medium.T_degC","tank3.medium.T_degC","tank4.medium.T_degC","T_pumpB_out.T"
240,26.067546847837377,26.047102414479525,25.368720938807257,25.005010524212082,25.72700374724161
242,26.070261139967386,26.050101079476974,25.370182433237744,25.004942693381906,25.72846527158822
244,26.072935661174085,26.053055780260536,25.371622592238907,25.00487583877333,25.72990546006622
246,26.075570988837,26.0559671564277,25.373041721561947,25.00480994688138,25.731324618432836
248,26.07816769034224,26.058835836238075,25.3744401224821,25.004745004368544,25.7327230479699
250,26.08072632308216,26.06166243661329,25.375818091798294,25.004680998064657,25.734101045481793
252,26.083247493369583,26.064447635065505,25.377175932152397,25.00461791443314,25.73545891361755
254,26.085731767360073,26.067192060942318,25.378513936426145,25.004555740378294,25.736796945264757
256,26.088179656838008,26.069896278072576,25.379832385252428,25.004494463374556,25.73811542106182
258,26.090591695143132,26.07256087746606,25.381131560312895,25.00443407077745,25.7394146226967
260,26.092968407015576,26.075186440495884,25.382411739058114,25.00437455009768,25.740694827625305
262,26.09531030859563,26.077773538899635,25.383673194705295,25.004315889000793,25.741956309071156
264,26.097617922292272,26.080322751131632,25.384916205379056,25.004258075862424,25.743199345164157
266,26.099891773885872,26.082834659176854,25.38614105232938,25.004201099660634,25.744424217159803
268,26.102132341300205,26.08530979220717,25.387347988445356,25.00414494806165,25.7456311779535
270,26.104340112931766,26.08774869073494,25.388537274107023,25.00408960959902,25.746820487929767
272,26.10651556917088,26.09015188629047,25.389709165827355,25.004035072983754,25.747992403607043
274,26.108659182402505,26.092519901420417,25.39086391625125,25.00398132710376,25.74914717763602
276,26.110771419806213,26.0948532526275,25.3920017753739,25.00392836048769,25.75028506001638
278,26.11285275699646,26.09715246468153,25.393122996459226,25.003876158697665,25.751406304017905
280,26.11490363390004,26.09941802432496,25.394227816888076,25.003824712767084,25.752511147025928
282,26.11692449405865,26.101650421509873,25.39531647521784,25.003774011683333,25.753599827602784
284,26.118915773297374,26.10385013750937,25.39638920626527,25.003724044556463,25.754672580570514
